ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
4,80,0.0005,0.008,0.0001,-33.34729763070723
4,80,0.001,0.008,0.0001,-28.379523987579546
4,80,0.0015,0.008,0.0001,-24.636097413078005
4,80,0.002,0.008,0.0001,-25.80840985111309
4,80,0.0005,0.01,0.0001,-34.348290234684306
4,80,0.001,0.01,0.0001,-30.186520915902925
4,80,0.0015,0.01,0.0001,-26.77878042842574
4,80,0.002,0.01,0.0001,-27.834849166079668
4,80,0.0005,0.002,0.0002,-38.06892641874449
4,80,0.001,0.002,0.0002,-28.50812362308106
4,80,0.0015,0.002,0.0002,-22.991973316466186
4,80,0.002,0.002,0.0002,-19.152680402783652
4,80,0.0005,0.006,0.0002,-35.38849778610581
4,80,0.001,0.006,0.0002,-27.60528693361278
4,80,0.0015,0.006,0.0002,-16.30338630601418
4,80,0.002,0.006,0.0002,-13.06541701905507
4,80,0.0005,0.008,0.0002,-34.09861397636597
4,80,0.001,0.008,0.0002,-27.551521327626627
4,80,0.0015,0.008,0.0002,-15.924688821960963
4,80,0.002,0.008,0.0002,-13.049406897197091
4,80,0.0005,0.01,0.0002,-35.67790751372627
4,80,0.001,0.01,0.0002,-28.992671733347407
4,80,0.0015,0.01,0.0002,-16.312726736701578
4,80,0.002,0.01,0.0002,-14.654198076077328
12,80,0.0005,0.002,1e-05,-5.668568716596201
12,80,0.001,0.002,1e-05,-5.605897150164663
12,80,0.0015,0.002,1e-05,-5.553290655382737
12,80,0.002,0.002,1e-05,-1.5281543511506124
12,80,0.0005,0.006,1e-05,-5.056032809701505
12,80,0.001,0.006,1e-05,-9.2867451059775
12,80,0.0015,0.006,1e-05,-12.599637981777933
12,80,0.002,0.006,1e-05,-10.438515128336501
12,80,0.0005,0.008,1e-05,-5.197398181550639
12,80,0.001,0.008,1e-05,-8.008951394787578
12,80,0.0015,0.008,1e-05,-11.048236306315928
12,80,0.002,0.008,1e-05,-9.403315547573833
12,80,0.0005,0.01,1e-05,-6.608935171852659
12,80,0.001,0.01,1e-05,-9.45745530479064
12,80,0.0015,0.01,1e-05,-12.7310798851895
12,80,0.002,0.01,1e-05,-10.344784204723256
12,80,0.0005,0.002,5e-05,-17.267519690287703
12,80,0.001,0.002,5e-05,-14.811278313922049
12,80,0.0015,0.002,5e-05,-13.274469703445602
12,80,0.002,0.002,5e-05,-9.616751436658488
12,80,0.0005,0.006,5e-05,-19.156286098262576
12,80,0.001,0.006,5e-05,-18.903596757571016
12,80,0.0015,0.006,5e-05,-20.05568773462243
12,80,0.002,0.006,5e-05,-12.924951850185295
12,80,0.0005,0.008,5e-05,-20.574489015720932
12,80,0.001,0.008,5e-05,-17.069637774228642
12,80,0.0015,0.008,5e-05,-17.561657325756197
12,80,0.002,0.008,5e-05,-12.309736622155022
12,80,0.0005,0.01,5e-05,-19.99109445414834
12,80,0.001,0.01,5e-05,-19.107719247225585
12,80,0.0015,0.01,5e-05,-16.183330719092037
12,80,0.002,0.01,5e-05,-11.356541632716887
12,80,0.0005,0.002,0.0001,-23.69037807707379
12,80,0.001,0.002,0.0001,-21.28957848121551
12,80,0.0015,0.002,0.0001,-20.54830448092595
12,80,0.002,0.002,0.0001,-12.603978051514908
12,80,0.0005,0.006,0.0001,-19.588388055106986
12,80,0.001,0.006,0.0001,-26.042545372473537
12,80,0.0015,0.006,0.0001,-28.807786625005104
12,80,0.002,0.006,0.0001,-20.970536955675456
12,80,0.0005,0.008,0.0001,-21.206867490187285
12,80,0.001,0.008,0.0001,-24.7924497482829
12,80,0.0015,0.008,0.0001,-27.846992176671815
12,80,0.002,0.008,0.0001,-23.05471292819363
12,80,0.0005,0.01,0.0001,-20.734258077414424
12,80,0.001,0.01,0.0001,-25.261143266033116
12,80,0.0015,0.01,0.0001,-24.854759791341497
12,80,0.002,0.01,0.0001,-22.400912943917493
12,80,0.0005,0.002,0.0002,-35.81249068685762
12,80,0.001,0.002,0.0002,-35.126139959141
12,80,0.0015,0.002,0.0002,-28.792524525131302
12,80,0.002,0.002,0.0002,-24.133558673436717
12,80,0.0005,0.006,0.0002,-34.83229491780532
12,80,0.001,0.006,0.0002,-33.57367833078312
12,80,0.0015,0.006,0.0002,-23.728003314792645
12,80,0.002,0.006,0.0002,-16.254544356158018
12,80,0.0005,0.008,0.0002,-37.89015182845446
12,80,0.001,0.008,0.0002,-33.6872928787267
12,80,0.0015,0.008,0.0002,-23.661374935623847
12,80,0.002,0.008,0.0002,-18.869265359046604
12,80,0.0005,0.01,0.0002,-37.35729129166494
12,80,0.001,0.01,0.0002,-32.85051915976993
12,80,0.0015,0.01,0.0002,-26.07356690326672
12,80,0.002,0.01,0.0002,-22.36345087510766
20,80,0.0005,0.002,1e-05,-5.642010746010994
20,80,0.001,0.002,1e-05,-5.523820184257455
20,80,0.0015,0.002,1e-05,-6.465599909240827
20,80,0.002,0.002,1e-05,-1.85902910030602
20,80,0.0005,0.006,1e-05,-5.80813112263553
20,80,0.001,0.006,1e-05,-5.910711005214497
20,80,0.0015,0.006,1e-05,-10.755704018578715
20,80,0.002,0.006,1e-05,-7.504814327471587
20,80,0.0005,0.008,1e-05,-6.828342987284508
20,80,0.001,0.008,1e-05,-8.033773931849309
20,80,0.0015,0.008,1e-05,-12.118377606354525
20,80,0.002,0.008,1e-05,-9.328180007519382
20,80,0.0005,0.01,1e-05,-7.058437939146134
20,80,0.001,0.01,1e-05,-9.826576750634086
20,80,0.0015,0.01,1e-05,-12.315781647201918
20,80,0.002,0.01,1e-05,-8.178062395787522
20,80,0.0005,0.002,5e-05,-19.932137585220154
20,80,0.001,0.002,5e-05,-15.75469716780139
20,80,0.0015,0.002,5e-05,-15.176337845295373
20,80,0.002,0.002,5e-05,-6.98026655853684
20,80,0.0005,0.006,5e-05,-17.44028280235628
20,80,0.001,0.006,5e-05,-13.991852800861926
20,80,0.0015,0.006,5e-05,-12.4240844345908
20,80,0.002,0.006,5e-05,-9.121490463465708
20,80,0.0005,0.008,5e-05,-16.45029178910873
20,80,0.001,0.008,5e-05,-12.559857573160649
20,80,0.0015,0.008,5e-05,-12.573128517622244
20,80,0.002,0.008,5e-05,-10.610617533647515
20,80,0.0005,0.01,5e-05,-15.192573588767623
20,80,0.001,0.01,5e-05,-13.40637699865681
20,80,0.0015,0.01,5e-05,-10.48326190856088
20,80,0.002,0.01,5e-05,-8.358774204903451
20,80,0.0005,0.002,0.0001,-31.210686385794517
20,80,0.001,0.002,0.0001,-26.190497684256865
20,80,0.0015,0.002,0.0001,-20.773504991987913
20,80,0.002,0.002,0.0001,-16.818421293872543
20,80,0.0005,0.006,0.0001,-26.13659641317343
20,80,0.001,0.006,0.0001,-23.40800341274122
20,80,0.0015,0.006,0.0001,-18.081533345917254
20,80,0.002,0.006,0.0001,-10.289593797365004
20,80,0.0005,0.008,0.0001,-25.158167948446607
20,80,0.001,0.008,0.0001,-23.1141842454996
20,80,0.0015,0.008,0.0001,-19.799881859490164
20,80,0.002,0.008,0.0001,-10.94225796779007
20,80,0.0005,0.01,0.0001,-23.36376384949601
20,80,0.001,0.01,0.0001,-22.09801378148932
20,80,0.0015,0.01,0.0001,-16.729454360143635
20,80,0.002,0.01,0.0001,-9.389349988395356
20,80,0.0005,0.002,0.0002,-36.79666957444322
20,80,0.001,0.002,0.0002,-30.352247175232893
20,80,0.0015,0.002,0.0002,-21.905982028467776
20,80,0.002,0.002,0.0002,-17.486758646286727
20,80,0.0005,0.006,0.0002,-33.37140359526442
20,80,0.001,0.006,0.0002,-28.71324737724983
