ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
4,100,0.0015,0.008,1e-05,-6.549302160659964
4,100,0.002,0.008,1e-05,-4.052772789450265
4,100,0.003,0.008,1e-05,-5.16837053099739
4,100,0.005,0.008,1e-05,-6.120387568801478
4,100,0.0015,0.01,1e-05,-7.576963320730778
4,100,0.002,0.01,1e-05,-5.326111352067797
4,100,0.003,0.01,1e-05,-6.108840066088184
4,100,0.005,0.01,1e-05,-7.265250590362838
4,100,0.0015,0.002,5e-05,-10.045333683587987
4,100,0.002,0.002,5e-05,-8.223913760633806
4,100,0.003,0.002,5e-05,-3.7967134250851076
4,100,0.005,0.002,5e-05,-1.9420392750702176
4,100,0.0015,0.006,5e-05,-9.636372555584716
4,100,0.002,0.006,5e-05,-8.16079817376294
4,100,0.003,0.006,5e-05,-9.16968716921338
4,100,0.005,0.006,5e-05,-4.3566652747665024
4,100,0.0015,0.008,5e-05,-12.303488475669788
4,100,0.002,0.008,5e-05,-12.333975749545056
4,100,0.003,0.008,5e-05,-15.664407333749908
4,100,0.005,0.008,5e-05,-12.264456706912764
4,100,0.0015,0.01,5e-05,-13.280006617178596
4,100,0.002,0.01,5e-05,-13.917907137620912
4,100,0.003,0.01,5e-05,-13.808483166474971
4,100,0.005,0.01,5e-05,-11.647386184986907
12,100,0.0015,0.002,1e-06,-1.1450905193045924
12,100,0.002,0.002,1e-06,-0.6498252916310898
12,100,0.003,0.002,1e-06,-0.15247490292654708
12,100,0.005,0.002,1e-06,-0.6398328794113395
12,100,0.0015,0.006,1e-06,-1.5825602806448846
12,100,0.002,0.006,1e-06,-1.6337768520943263
12,100,0.003,0.006,1e-06,-2.2640998040728166
12,100,0.005,0.006,1e-06,-2.1818224546937937
12,100,0.0015,0.008,1e-06,-1.2474845665090273
12,100,0.002,0.008,1e-06,-1.4483219883624332
12,100,0.003,0.008,1e-06,-2.373475573738826
12,100,0.005,0.008,1e-06,-2.0964185221212683
12,100,0.0015,0.01,1e-06,0.1862351387676764
12,100,0.002,0.01,1e-06,-0.16913593875437227
12,100,0.003,0.01,1e-06,-1.9359356619865542
12,100,0.005,0.01,1e-06,-1.6576369035825822
12,100,0.0015,0.002,5e-06,-2.0305188414811326
12,100,0.002,0.002,5e-06,-1.7578287051783548
12,100,0.003,0.002,5e-06,-1.3354403968434236
12,100,0.005,0.002,5e-06,0.09486543309789042
12,100,0.0015,0.006,5e-06,-2.875557777186455
12,100,0.002,0.006,5e-06,-5.317427955280518
12,100,0.003,0.006,5e-06,-2.5234848809335686
12,100,0.005,0.006,5e-06,-0.15361912227329633
12,100,0.0015,0.008,5e-06,-0.8370564591469676
12,100,0.002,0.008,5e-06,-3.8565268481234427
12,100,0.003,0.008,5e-06,-0.9225638974896699
12,100,0.005,0.008,5e-06,1.31217841724669
12,100,0.0015,0.01,5e-06,0.6500406586223306
12,100,0.002,0.01,5e-06,-3.448054858152938
12,100,0.003,0.01,5e-06,-1.140536463652031
12,100,0.005,0.01,5e-06,0.6856257888975481
12,100,0.0015,0.002,1e-05,-4.6986675695502855
12,100,0.002,0.002,1e-05,-4.4582990008151135
12,100,0.003,0.002,1e-05,-1.6822192843712003
12,100,0.005,0.002,1e-05,0.5348094133966308
12,100,0.0015,0.006,1e-05,-7.830415981881112
12,100,0.002,0.006,1e-05,-8.623599579459807
12,100,0.003,0.006,1e-05,-3.0858546272403253
12,100,0.005,0.006,1e-05,2.6272068141290017
12,100,0.0015,0.008,1e-05,-6.992605379762907
12,100,0.002,0.008,1e-05,-8.466138878011497
12,100,0.003,0.008,1e-05,-3.0166487730399094
12,100,0.005,0.008,1e-05,1.970707535411087
12,100,0.0015,0.01,1e-05,-5.318960372531034
12,100,0.002,0.01,1e-05,-7.336597934191957
12,100,0.003,0.01,1e-05,-2.3439571528866776
