timestamp,lp_1
2019-05-14 10:42:59,1241.3
2019-05-14 10:43:00,1241.35
2019-05-14 10:43:01,1241.5
2019-05-14 10:43:01,1241.5
2019-05-14 10:43:02,1241.5
2019-05-14 10:43:03,1241.45
2019-05-14 10:43:03,1241.45
2019-05-14 10:43:04,1241.3
2019-05-14 10:43:04,1241.3
2019-05-14 10:43:05,1241.45
2019-05-14 10:43:06,1241.45
2019-05-14 10:43:06,1241.45
2019-05-14 10:43:07,1241.35
2019-05-14 10:43:08,1241.3
2019-05-14 10:43:09,1241.3
2019-05-14 10:43:09,1241.3
2019-05-14 10:43:10,1241.1
2019-05-14 10:43:10,1241.05
2019-05-14 10:43:11,1241.05
2019-05-14 10:43:12,1241.0
2019-05-14 10:43:12,1241.05
2019-05-14 10:43:13,1241.05
2019-05-14 10:43:13,1241.05
2019-05-14 10:43:14,1241.05
2019-05-14 10:43:15,1241.0
2019-05-14 10:43:15,1241.05
2019-05-14 10:43:16,1241.05
2019-05-14 10:43:16,1241.05
2019-05-14 10:43:17,1241.1
2019-05-14 10:43:18,1241.1
2019-05-14 10:43:18,1241.25
2019-05-14 10:43:19,1241.1
2019-05-14 10:43:20,1241.25
2019-05-14 10:43:21,1241.35
2019-05-14 10:43:21,1241.35
2019-05-14 10:43:22,1241.35
2019-05-14 10:43:23,1241.3
2019-05-14 10:43:24,1241.15
2019-05-14 10:43:25,1241.15
2019-05-14 10:43:25,1241.2
2019-05-14 10:43:26,1241.3
2019-05-14 10:43:27,1241.2
2019-05-14 10:43:28,1241.2
2019-05-14 10:43:28,1241.2
2019-05-14 10:43:29,1241.3
2019-05-14 10:43:30,1241.25
2019-05-14 10:43:30,1241.25
2019-05-14 10:43:31,1241.3
2019-05-14 10:43:32,1241.3
2019-05-14 10:43:32,1241.3
2019-05-14 10:43:33,1241.3
2019-05-14 10:43:34,1241.3
2019-05-14 10:43:34,1241.3
2019-05-14 10:43:35,1241.3
2019-05-14 10:43:36,1241.3
2019-05-14 10:43:36,1241.3
2019-05-14 10:43:37,1241.3
2019-05-14 10:43:37,1241.2
2019-05-14 10:43:38,1241.2
2019-05-14 10:43:39,1241.25
2019-05-14 10:43:39,1241.25
2019-05-14 10:43:40,1241.25
2019-05-14 10:43:41,1241.25
2019-05-14 10:43:42,1241.5
2019-05-14 10:43:43,1241.45
2019-05-14 10:43:43,1241.4
2019-05-14 10:43:44,1241.55
2019-05-14 10:43:45,1241.55
2019-05-14 10:43:45,1241.55
2019-05-14 10:43:46,1241.55
2019-05-14 10:43:47,1241.8
2019-05-14 10:43:48,1241.8
2019-05-14 10:43:48,1241.5
2019-05-14 10:43:49,1241.5
2019-05-14 10:43:50,1241.95
2019-05-14 10:43:51,1241.55
2019-05-14 10:43:51,1241.55
2019-05-14 10:43:52,1241.9
2019-05-14 10:43:52,1241.9
2019-05-14 10:43:53,1241.9
2019-05-14 10:43:54,1241.65
2019-05-14 10:43:55,1241.9
2019-05-14 10:43:57,1242.0
2019-05-14 10:43:57,1241.95
2019-05-14 10:43:58,1242.3
2019-05-14 10:43:59,1242.1
2019-05-14 10:44:00,1242.1
2019-05-14 10:44:01,1242.3
