stockName,shortTerm,longTerm,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
NC-GUARGUM5_F1,4,250,0.01,0.008,5e-05,6.094639617707065
NC-GUARGUM5_F1,6,250,0.01,0.008,5e-05,1.8015953052714861
NC-GUARGUM5_F1,8,250,0.01,0.008,5e-05,9.061601227993844
NC-GUARGUM5_F1,10,250,0.01,0.008,5e-05,13.18053594873736
NC-GUARGUM5_F1,12,250,0.01,0.008,5e-05,-4.2347314548454085
NC-GUARGUM5_F1,14,250,0.01,0.008,5e-05,1.335594095648207
NC-GUARGUM5_F1,16,250,0.01,0.008,5e-05,0.13325597450781768
NC-GUARGUM5_F1,2,300,0.01,0.008,5e-05,-5.122823511420094
NC-GUARGUM5_F1,3,300,0.01,0.008,5e-05,0.21729907410568128
NC-GUARGUM5_F1,4,300,0.01,0.008,5e-05,9.82410301023473
NC-GUARGUM5_F1,6,300,0.01,0.008,5e-05,13.12718015868779
NC-GUARGUM5_F1,8,300,0.01,0.008,5e-05,-8.07837346994914
NC-GUARGUM5_F1,10,300,0.01,0.008,5e-05,1.4135956086710477
NC-GUARGUM5_F1,12,300,0.01,0.008,5e-05,-6.601450841848655
NC-GUARGUM5_F1,14,300,0.01,0.008,5e-05,1.0198542028232893
NC-GUARGUM5_F1,16,300,0.01,0.008,5e-05,-1.397675132841747
NC-GUARGUM5_F1,2,400,0.01,0.008,5e-05,10.200984340539975
NC-GUARGUM5_F1,3,400,0.01,0.008,5e-05,-2.0871155575766354
NC-GUARGUM5_F1,4,400,0.01,0.008,5e-05,-3.7992190513296387
NC-GUARGUM5_F1,6,400,0.01,0.008,5e-05,-5.000465875542304
NC-GUARGUM5_F1,8,400,0.01,0.008,5e-05,-2.3191125112322797
NC-GUARGUM5_F1,10,400,0.01,0.008,5e-05,4.264347485093123
NC-GUARGUM5_F1,12,400,0.01,0.008,5e-05,5.390583017837991
NC-GUARGUM5_F1,14,400,0.01,0.008,5e-05,9.91342920883007
NC-GUARGUM5_F1,16,400,0.01,0.008,5e-05,0.639947750972425
INFRATEL_F1,2,100,0.01,0.008,5e-05,-6.601121947340083
