ST,LT,targetPercentage,stopLossPercentage,entryDifference,profitPercentage
4,80,0.002,0.006,0.0001,-22.859896387517953
4,80,0.0005,0.008,0.0001,-37.207786137636504
4,80,0.001,0.008,0.0001,-32.474292130500025
4,80,0.0015,0.008,0.0001,-27.81027678419076
4,80,0.002,0.008,0.0001,-26.99334144014689
4,80,0.0005,0.01,0.0001,-40.50065373682044
4,80,0.001,0.01,0.0001,-35.375768431807906
4,80,0.0015,0.01,0.0001,-28.41042477665543
4,80,0.002,0.01,0.0001,-29.57138871935815
4,80,0.0005,0.002,0.0002,-37.481331891312095
4,80,0.001,0.002,0.0002,-33.373953059440396
4,80,0.0015,0.002,0.0002,-26.788017389765905
4,80,0.002,0.002,0.0002,-25.749936617571233
4,80,0.0005,0.006,0.0002,-36.20256945830521
4,80,0.001,0.006,0.0002,-25.02380104727031
4,80,0.0015,0.006,0.0002,-18.61830056213374
4,80,0.002,0.006,0.0002,-15.295534416804768
4,80,0.0005,0.008,0.0002,-40.174775993479074
4,80,0.001,0.008,0.0002,-28.182058548864575
4,80,0.0015,0.008,0.0002,-22.77456819260335
4,80,0.002,0.008,0.0002,-21.35774483611038
4,80,0.0005,0.01,0.0002,-42.50338261788661
4,80,0.001,0.01,0.0002,-32.05335918802091
4,80,0.0015,0.01,0.0002,-24.828868728630617
4,80,0.002,0.01,0.0002,-28.39158764061708
12,80,0.0005,0.002,1e-05,-4.5977731260927746
12,80,0.001,0.002,1e-05,-3.725581775270803
12,80,0.0015,0.002,1e-05,-2.785164328154388
12,80,0.002,0.002,1e-05,-2.1760357351681803
12,80,0.0005,0.006,1e-05,-7.4336291382756325
12,80,0.001,0.006,1e-05,-4.7120229985086475
12,80,0.0015,0.006,1e-05,-2.0173940736146756
12,80,0.002,0.006,1e-05,-4.235507969988783
12,80,0.0005,0.008,1e-05,-8.520614014256267
12,80,0.001,0.008,1e-05,-5.222886049932662
12,80,0.0015,0.008,1e-05,-2.104293590204853
12,80,0.002,0.008,1e-05,-2.69067534617341
12,80,0.0005,0.01,1e-05,-8.417116315173423
12,80,0.001,0.01,1e-05,-3.020654450587512
12,80,0.0015,0.01,1e-05,-0.03341215436040157
12,80,0.002,0.01,1e-05,-1.6498359905380289
12,80,0.0005,0.002,5e-05,-16.045677341908405
12,80,0.001,0.002,5e-05,-13.931299346875448
12,80,0.0015,0.002,5e-05,-13.481634027088528
12,80,0.002,0.002,5e-05,-9.656202223742284
12,80,0.0005,0.006,5e-05,-23.35961374412343
12,80,0.001,0.006,5e-05,-20.966936577917437
12,80,0.0015,0.006,5e-05,-17.78483961608338
12,80,0.002,0.006,5e-05,-16.536295797499655
12,80,0.0005,0.008,5e-05,-24.75445517146978
12,80,0.001,0.008,5e-05,-19.30890220993784
12,80,0.0015,0.008,5e-05,-16.67105665748213
12,80,0.002,0.008,5e-05,-13.87505459425018
12,80,0.0005,0.01,5e-05,-25.89887460835549
12,80,0.001,0.01,5e-05,-19.845429783624468
12,80,0.0015,0.01,5e-05,-19.135015869292836
12,80,0.002,0.01,5e-05,-16.960443845165006
12,80,0.0005,0.002,0.0001,-26.056962292987972
12,80,0.001,0.002,0.0001,-22.914380673841805
12,80,0.0015,0.002,0.0001,-18.63091235404484
12,80,0.002,0.002,0.0001,-16.566210913487268
12,80,0.0005,0.006,0.0001,-33.20556511219017
12,80,0.001,0.006,0.0001,-28.783550277531088
12,80,0.0015,0.006,0.0001,-15.788296944409108
12,80,0.002,0.006,0.0001,-20.88147113318256
12,80,0.0005,0.008,0.0001,-33.72927032868929
12,80,0.001,0.008,0.0001,-26.876310888247822
12,80,0.0015,0.008,0.0001,-14.056650786602997
12,80,0.002,0.008,0.0001,-18.062368555076482
12,80,0.0005,0.01,0.0001,-31.049599878936817
12,80,0.001,0.01,0.0001,-25.39819283138347
12,80,0.0015,0.01,0.0001,-12.095582769389512
12,80,0.002,0.01,0.0001,-14.80062258861905
12,80,0.0005,0.002,0.0002,-29.958968912166796
12,80,0.001,0.002,0.0002,-27.862240302283304
12,80,0.0015,0.002,0.0002,-17.69192394930875
12,80,0.002,0.002,0.0002,-14.101797261356385
12,80,0.0005,0.006,0.0002,-33.583028904519196
12,80,0.001,0.006,0.0002,-26.69711859214139
12,80,0.0015,0.006,0.0002,-16.633969491590506
12,80,0.002,0.006,0.0002,-20.732394699960356
12,80,0.0005,0.008,0.0002,-34.62414372082897
12,80,0.001,0.008,0.0002,-26.508451838532842
12,80,0.0015,0.008,0.0002,-16.08654159207483
12,80,0.002,0.008,0.0002,-21.741588624516528
12,80,0.0005,0.01,0.0002,-35.86657907086174
12,80,0.001,0.01,0.0002,-29.14489072841012
12,80,0.0015,0.01,0.0002,-20.041885520057168
12,80,0.002,0.01,0.0002,-24.66500439422642
20,80,0.0005,0.002,1e-05,-2.3717505434941
20,80,0.001,0.002,1e-05,-1.739929417847974
20,80,0.0015,0.002,1e-05,-4.510653572534251
20,80,0.002,0.002,1e-05,-2.762021370061729
20,80,0.0005,0.006,1e-05,-5.070189453231744
20,80,0.001,0.006,1e-05,-4.070715651412882
20,80,0.0015,0.006,1e-05,-5.723688554206374
20,80,0.002,0.006,1e-05,-6.553380350997539
20,80,0.0005,0.008,1e-05,-5.609333396199334
20,80,0.001,0.008,1e-05,-5.565619121699439
20,80,0.0015,0.008,1e-05,-6.093893543602191
20,80,0.002,0.008,1e-05,-8.511077117752308
20,80,0.0005,0.01,1e-05,-5.235428524309582
20,80,0.001,0.01,1e-05,-6.150119830582945
20,80,0.0015,0.01,1e-05,-7.159907265430854
20,80,0.002,0.01,1e-05,-10.424116443833388
20,80,0.0005,0.002,5e-05,-19.098939268798844
20,80,0.001,0.002,5e-05,-14.144443433605092
20,80,0.0015,0.002,5e-05,-14.302610399422422
20,80,0.002,0.002,5e-05,-11.773807495625089
20,80,0.0005,0.006,5e-05,-20.500494380923996
20,80,0.001,0.006,5e-05,-17.630884766866362
20,80,0.0015,0.006,5e-05,-12.562015069978216
20,80,0.002,0.006,5e-05,-16.277143522468474
20,80,0.0005,0.008,5e-05,-21.633787762116917
20,80,0.001,0.008,5e-05,-17.51704342885796
20,80,0.0015,0.008,5e-05,-16.033101179978427
20,80,0.002,0.008,5e-05,-17.873374447848313
20,80,0.0005,0.01,5e-05,-21.53765891932545
20,80,0.001,0.01,5e-05,-17.651526148275178
20,80,0.0015,0.01,5e-05,-15.742045306174068
20,80,0.002,0.01,5e-05,-19.363263728269132
20,80,0.0005,0.002,0.0001,-28.234143957879265
20,80,0.001,0.002,0.0001,-21.673160957169813
20,80,0.0015,0.002,0.0001,-21.292650786582744
20,80,0.002,0.002,0.0001,-19.13630785016849
20,80,0.0005,0.006,0.0001,-27.393307716462022
20,80,0.001,0.006,0.0001,-20.243898552522165
20,80,0.0015,0.006,0.0001,-15.819725083361158
20,80,0.002,0.006,0.0001,-22.34285989952727
20,80,0.0005,0.008,0.0001,-28.860766843872575
20,80,0.001,0.008,0.0001,-22.16429355634456
